book,n,n_days,win,mean_ret,ci_lo,ci_hi,sharpe,total_pnl,horizon_d,band
anti(0 bulls),16,13.0,0.4375,1.3751775223057678,-0.14041514041514047,2.7734084807376576,0.4606266151896165,22.002840356892285,3,"[0.10,0.30)"
flow_only≥1,64,24.0,0.5625,-0.10806151566240677,-0.3452189954429228,0.22861660745756496,-0.1278107315103128,-6.915937002394033,3,"[0.10,0.30)"
midprice,26,21.0,0.38461538461538464,0.9242172278229444,-0.1029446313999159,2.009001596163379,0.34656941435411387,24.029647923396553,3,"[0.10,0.30)"
combo≥2,2,2.0,0.5,0.6949152542372878,,,0.28991378028648446,1.3898305084745757,3,"[0.10,0.30)"
anti(0 bulls),16,13.0,0.4375,1.3751775223057678,-0.14041514041514047,2.7734084807376576,0.4606266151896165,22.002840356892285,3,"[0.10,0.30)"
flow_only≥2,25,14.0,0.6,-0.000827458457835597,-0.24386726809697465,0.41422576927167926,-0.0009578784580739363,-0.020686461445889925,3,"[0.10,0.30)"
midprice,26,21.0,0.38461538461538464,0.9242172278229444,-0.1029446313999159,2.009001596163379,0.34656941435411387,24.029647923396553,3,"[0.10,0.30)"
anti(0 bulls),16,13.0,0.4375,1.3751775223057678,-0.14041514041514047,2.7734084807376576,0.4606266151896165,22.002840356892285,3,"[0.10,0.30)"
flow_only≥3,6,4.0,0.8333333333333334,0.3593835496251443,-0.06646573774688547,1.025529312848735,0.4829158186328737,2.1563012977508658,3,"[0.10,0.30)"
midprice,105,46.0,0.5333333333333333,0.0032824400379768996,-0.22585230790821578,0.2636069041354816,0.0033451961959035164,0.34465620398757446,3,"[0.30,0.70)"
combo≥1,35,16.0,0.6857142857142857,0.22033101092803237,0.08255763739462614,0.6225072445769357,0.24992234512112022,7.7115853824811325,3,"[0.30,0.70)"
anti(0 bulls),59,37.0,0.4745762711864407,-0.05912079216276803,-0.3251650062007724,0.2542289937312857,-0.05713673020686317,-3.4881267376033134,3,"[0.30,0.70)"
flow_only≥1,37,22.0,0.3783783783783784,-0.3813374796809584,-0.6344480264185817,0.3955882894445052,-0.357196141233914,-14.10948674819546,3,"[0.30,0.70)"
midprice,105,46.0,0.5333333333333333,0.0032824400379768996,-0.22585230790821578,0.2636069041354816,0.0033451961959035164,0.34465620398757446,3,"[0.30,0.70)"
combo≥2,19,11.0,0.631578947368421,0.10746600976948881,0.05341056966732335,0.6948679015643526,0.12024611416331553,2.0418541856202874,3,"[0.30,0.70)"
anti(0 bulls),59,37.0,0.4745762711864407,-0.05912079216276803,-0.3251650062007724,0.2542289937312857,-0.05713673020686317,-3.4881267376033134,3,"[0.30,0.70)"
flow_only≥2,8,6.0,0.5,-0.08408876732395018,-0.7237708491063849,1.121273422254994,-0.07046782451155181,-0.6727101385916014,3,"[0.30,0.70)"
midprice,105,46.0,0.5333333333333333,0.0032824400379768996,-0.22585230790821578,0.2636069041354816,0.0033451961959035164,0.34465620398757446,3,"[0.30,0.70)"
combo≥3,4,3.0,0.75,0.3541116838090512,-0.27007299270072993,1.2471910112359552,0.3686116728415204,1.416446735236205,3,"[0.30,0.70)"
