gecko_id,n_venues,n_clean,n_quoting,depth_2pct_usd,adv_usd_quoting,adv_usd_clean,adv_usd_all,spread_pct,flagged_vol_share
cetus-protocol,36.0,28.0,27.0,421974.5242590623,1799918.42,1799964.1099999999,2040569.1099999996,0.2753526751915623,0.11791073324637347
chainflip,7.0,7.0,7.0,33482.57952937995,63146.79,63146.79,63146.79,0.42481580526072665,0.0
collector-crypt,23.0,20.0,20.0,98079.71041440942,8079279.74,8079279.74,8113933.0600000005,0.556684286480614,0.004270841248473434
convex-finance,60.0,52.0,50.0,2211242.693747413,4894292.21,4894414.390000001,5154712.140000001,0.39944134882513893,0.05049704870619598
cow-protocol,56.0,47.0,46.0,1366547.7416715773,2175218.5699999994,2175283.659999999,2532297.96,0.24167868632308082,0.14098431765904862
debridge,34.0,27.0,26.0,289551.25536538503,749760.5800000001,749804.5100000001,2616685.0999999996,0.3286387653888392,0.7134525243408156
dextools,7.0,3.0,3.0,1466.5839799067505,6186.919999999999,6186.919999999999,37699.50000000001,1.336121167294874,0.8358885396358042
dodo,40.0,34.0,33.0,3228675.020136101,7016748.1,7016853.180000001,7159548.269476,0.47200748699677003,0.019930739217775106
dolomite,36.0,27.0,26.0,1971269.643815439,2436164.64,2436211.66,4128059.94,0.2136357950804261,0.4098410160197431
drift-protocol,35.0,27.0,26.0,162955.07569001915,1758280.48,1758315.09,1788171.59,0.32444748948841196,0.01669666388112112
etherex,3.0,1.0,1.0,3886.8384615480572,6198.74,6198.74,8338.279999999999,0.604777,0.2565924866998949
euler,29.0,25.0,25.0,511949.63443919836,1830623.28,1830623.28,2741642.5,0.18524608245120755,0.33228957458895536
fantom,2.0,1.0,1.0,0.0,816.13,816.13,892.23,15.891472999999998,0.08529190903690753
frax-share,31.0,21.0,20.0,142929.84414544835,371709.31,371714.77999999997,391355.088025,0.24510025254314985,0.05018539077673978
fulcrom,7.0,5.0,5.0,18469.130528475715,5213.969999999999,5213.969999999999,5363.7,0.6049252272107435,0.027915431511829625
fxn-token,3.0,3.0,3.0,55122.60712192112,23065.06,23065.06,23065.06,0.603183651073962,0.0
gains-network,25.0,20.0,19.0,58258.30290277162,313614.11000000004,313620.97000000003,314110.75,0.24872355292649295,0.0015592589556389091
gamma-strategies,,,,,,,,,
gearbox,2.0,2.0,2.0,7731.945542057041,9473.54,9473.54,9473.54,0.6051169386195656,0.0
geist-finance,,,,,,,,,
geodnet,27.0,21.0,21.0,67811.76444027275,973692.3,973692.3,1012201.8299999998,0.5761685563728398,0.03804530762407321
gmx,63.0,56.0,55.0,742079.1838790284,6268452.470000001,6268571.32,6662025.49,0.4694044351863688,0.059059241155800524
godl-2,4.0,1.0,1.0,1212.308574442617,25354.0,25354.0,27744.109999999997,0.609346,0.08614837527677033
goldfinch,6.0,6.0,6.0,1653.6539646891838,150798.59,150798.59,150798.59,1.5939008957807894,0.0
hash-2,3.0,3.0,3.0,203.86111775576444,3041.14,3041.14,3041.14,5.602925418895546,0.0
hawksight,1.0,0.0,0.0,0.0,0.0,0.0,1.069,,1.0
hmx,,,,,,,,,
hyperlend,2.0,2.0,2.0,2247.093306175955,35121.4,35121.4,35121.4,0.49214794501927595,0.0
injective-protocol,100.0,94.0,94.0,15429586.245244598,252169740.0,252169740.0,257541885.0,0.15267549626070911,0.020859306050353688
instadapp,38.0,29.0,28.0,315859.663875079,1091006.7400000005,1091020.6800000004,1179313.23,0.4640923485686072,0.07486776859104649
inverse-finance,8.0,8.0,8.0,48995.985972550894,64842.63999999999,64842.63999999999,64842.63999999999,0.7246963446637893,0.0
just,54.0,44.0,42.0,4975897.417445844,40240347.150000006,40241815.440000005,42811439.980000004,0.12456196108874595,0.06002191332971829
kinetiq,11.0,11.0,11.0,91900.06985073563,1859359.5599999998,1859359.5599999998,1859359.5599999998,0.13516931945472666,0.0
ktx-finance,,,,,,,,,
kwenta,,,,,,,,,
kyber-network-crystal,58.0,43.0,41.0,2957997.1347686527,12640449.32,12640720.08,13383946.340000002,0.31673081342872006,0.05553117452202827
level,2.0,2.0,2.0,398.8059638937115,13320.75,13320.75,13320.75,0.6442199633353978,0.0
lido-dao,100.0,91.0,91.0,7203391.898309693,47307543.12000001,47307543.12000001,49213868.160000004,0.19420723688083102,0.038735525397075254
lifinity,2.0,2.0,2.0,142.282873697873,1899.1599999999999,1899.1599999999999,1899.1599999999999,3.6533427394005775,0.0
limitless-3,14.0,14.0,14.0,60467.04067591986,1329221.77,1329221.77,1329221.77,0.45576941962392775,0.0
liquity,36.0,27.0,26.0,3103655.7108738683,845366.6,845391.15,1064995.9500000002,0.26547544840730636,0.2062024742910995
looksrare,3.0,2.0,1.0,83.12632213963965,990.09,2244.1,2246.0499999999997,0.699553,0.0008681908238907798
looter,,,,,,,,,
lynex,5.0,1.0,1.0,816.9130380762313,2.45,2.45,47.3,0.616782,0.9482029598308668
mantle,60.0,43.0,42.0,3266042.9874135084,46933348.029999994,46934195.32999999,49753052.21000001,0.13657557781521923,0.05665696384016916
mcdex,5.0,2.0,2.0,11295.069523307979,118.74,118.74,140.57,0.612926759474482,0.15529629366152098
metaplex,21.0,20.0,19.0,243371.4238961572,637872.6199999999,637886.0099999999,642285.1599999999,0.35647037762901634,0.0068492163200533085
metronome,2.0,0.0,0.0,0.0,0.0,0.0,7143.400000000001,,1.0
moonwell-artemis,12.0,11.0,11.0,29818.54751954406,123778.76,123778.76,1354168.76,0.5529118207235232,0.9085942877607072
navi,19.0,18.0,17.0,37296.4694882292,352459.13,352467.47000000003,352497.75000000006,0.4000192404752006,8.590125752583333e-05
nxm,,,,,,,,,
orca,72.0,57.0,54.0,945411.5607506158,27799433.720000003,27800624.430000003,50126600.19853699,0.2692268889908405,0.44539178161116544
ore,19.0,16.0,16.0,17857.659206194163,761117.9299999999,761117.9299999999,762966.158088,0.4931624135642686,0.002422424728026895
osmosis,100.0,89.0,86.0,140399.91383487944,2328026.13,2328212.27,2335081.77,0.7054139325454393,0.002941866999372822
paal-ai,11.0,8.0,8.0,3211.104481593746,160456.62,160456.62,172083.94999999998,1.2265968322222542,0.06756777723895802
pancakeswap-token,100.0,93.0,93.0,6556049.071805168,102702185.0,102702185.0,106489790.0,0.22677044440065225,0.03556777602810557
pangolin,20.0,15.0,15.0,11001.88446694885,905055.4299999999,905055.4299999999,1180369.9600000002,0.6504717361049367,0.23324427029640793
penpie,1.0,1.0,1.0,2073.7339891943884,1185.97,1185.97,1185.97,0.6066,0.0
polygon-ecosystem-token,100.0,96.0,94.0,39796978.05933368,45071594.18999999,45168069.87,47552710.86999999,0.17258914232345576,0.05014731981356746
puffer-finance,34.0,27.0,25.0,86641.81811264939,714571.46,714685.48,1274927.3299999998,0.9258439059177651,0.4394304183596095
pulsex,80.0,71.0,71.0,120805.4294074497,535807.05,535807.05,539540.763,0.6071329948500676,0.006920168513755098
quickswap,26.0,21.0,20.0,1825886.540117879,358556.56000000006,358565.11000000004,367726.55,0.3670177437508882,0.02491373005294273
radiant-capital,10.0,5.0,5.0,3637.5284091914355,22982.77,22982.77,42127.74,2.9006892452110864,0.4544504404936035
railgun,9.0,8.0,8.0,154673.54737085765,437757.87,437757.87,437782.31,0.7065724029280388,5.5826833203931336e-05
raydium,100.0,93.0,92.0,5873327.769436962,74052798.46,74054567.08999999,88924092.92999999,0.2200084428450305,0.1672159405854735
rocket-pool,60.0,47.0,46.0,27625291.41655811,1326194.8599999999,1326350.66,1397079.5607120001,0.24133361059215686,0.05062625114632291
