pool,metric,n_follow,rebalance,screen,n_elig,smart_sharpe,anti_sharpe,all_sharpe,smart_pnl,anti_pnl,all_pnl,spread_anti,spread_all
30d,pnl_total,5,14,on,48,0.4318,0.2856,0.326,0.6114,0.3665,0.4172,0.1462,0.1058
30d,pnl_total,5,14,off,50,0.4318,0.2856,0.326,0.6114,0.3665,0.4172,0.1462,0.1058
30d,pnl_total,5,30,on,48,0.4028,0.3186,0.3246,0.5683,0.4033,0.4125,0.0842,0.0782
30d,pnl_total,5,30,off,50,0.4028,0.3186,0.3246,0.5683,0.4033,0.4125,0.0842,0.0782
30d,pnl_total,10,7,on,48,0.3078,0.3552,0.3608,0.388,0.4706,0.4685,-0.0474,-0.053
30d,pnl_total,10,7,off,50,0.3078,0.3552,0.3608,0.388,0.4706,0.4685,-0.0474,-0.053
30d,pnl_total,10,14,on,48,0.3687,0.2942,0.326,0.4706,0.3787,0.4172,0.0745,0.0427
30d,pnl_total,10,14,off,50,0.3687,0.2942,0.326,0.4706,0.3787,0.4172,0.0745,0.0427
30d,pnl_total,10,30,on,48,0.3246,0.3246,0.3246,0.4125,0.4125,0.4125,0.0,0.0
30d,pnl_total,10,30,off,50,0.3246,0.3246,0.3246,0.4125,0.4125,0.4125,0.0,0.0
30d,pnl_30d,3,7,on,48,0.4229,0.4802,0.3608,0.6038,0.7025,0.4685,-0.0573,0.0621
30d,pnl_30d,3,7,off,50,0.4229,0.4802,0.3608,0.6038,0.7025,0.4685,-0.0573,0.0621
30d,pnl_30d,3,14,on,48,0.353,0.2575,0.326,0.5021,0.3226,0.4172,0.0955,0.027
30d,pnl_30d,3,14,off,50,0.353,0.2575,0.326,0.5021,0.3226,0.4172,0.0955,0.027
30d,pnl_30d,3,30,on,48,0.4131,0.2989,0.3246,0.5746,0.3685,0.4125,0.1142,0.0885
30d,pnl_30d,3,30,off,50,0.4131,0.2989,0.3246,0.5746,0.3685,0.4125,0.1142,0.0885
30d,pnl_30d,5,7,on,48,0.427,0.4403,0.3608,0.5996,0.6404,0.4685,-0.0133,0.0662
30d,pnl_30d,5,7,off,50,0.427,0.4403,0.3608,0.5996,0.6404,0.4685,-0.0133,0.0662
30d,pnl_30d,5,14,on,48,0.4416,0.2856,0.326,0.6255,0.3665,0.4172,0.156,0.1156
30d,pnl_30d,5,14,off,50,0.4416,0.2856,0.326,0.6255,0.3665,0.4172,0.156,0.1156
30d,pnl_30d,5,30,on,48,0.409,0.3186,0.3246,0.5774,0.4033,0.4125,0.0904,0.0844
30d,pnl_30d,5,30,off,50,0.409,0.3186,0.3246,0.5774,0.4033,0.4125,0.0904,0.0844
30d,pnl_30d,10,7,on,48,0.3062,0.3998,0.3608,0.386,0.5504,0.4685,-0.0936,-0.0546
30d,pnl_30d,10,7,off,50,0.3062,0.3998,0.3608,0.386,0.5504,0.4685,-0.0936,-0.0546
30d,pnl_30d,10,14,on,48,0.3687,0.2942,0.326,0.4706,0.3787,0.4172,0.0745,0.0427
30d,pnl_30d,10,14,off,50,0.3687,0.2942,0.326,0.4706,0.3787,0.4172,0.0745,0.0427
30d,pnl_30d,10,30,on,48,0.3246,0.3246,0.3246,0.4125,0.4125,0.4125,0.0,0.0
30d,pnl_30d,10,30,off,50,0.3246,0.3246,0.3246,0.4125,0.4125,0.4125,0.0,0.0
30d,pnl_90d,3,7,on,48,0.4896,0.4172,0.3608,0.6872,0.619,0.4685,0.0724,0.1288
30d,pnl_90d,3,7,off,50,0.4896,0.4172,0.3608,0.6872,0.619,0.4685,0.0724,0.1288
30d,pnl_90d,3,14,on,48,0.4551,0.1508,0.326,0.6343,0.1935,0.4172,0.3043,0.1291
30d,pnl_90d,3,14,off,50,0.4551,0.1508,0.326,0.6343,0.1935,0.4172,0.3043,0.1291
30d,pnl_90d,3,30,on,48,0.4131,0.2989,0.3246,0.5746,0.3685,0.4125,0.1142,0.0885
30d,pnl_90d,3,30,off,50,0.4131,0.2989,0.3246,0.5746,0.3685,0.4125,0.1142,0.0885
30d,pnl_90d,5,7,on,48,0.4328,0.4403,0.3608,0.6075,0.6404,0.4685,-0.0075,0.072
30d,pnl_90d,5,7,off,50,0.4328,0.4403,0.3608,0.6075,0.6404,0.4685,-0.0075,0.072
30d,pnl_90d,5,14,on,48,0.4318,0.2856,0.326,0.6114,0.3665,0.4172,0.1462,0.1058
30d,pnl_90d,5,14,off,50,0.4318,0.2856,0.326,0.6114,0.3665,0.4172,0.1462,0.1058
30d,pnl_90d,5,30,on,48,0.4028,0.3186,0.3246,0.5683,0.4033,0.4125,0.0842,0.0782
30d,pnl_90d,5,30,off,50,0.4028,0.3186,0.3246,0.5683,0.4033,0.4125,0.0842,0.0782
30d,pnl_90d,10,7,on,48,0.3078,0.3552,0.3608,0.388,0.4706,0.4685,-0.0474,-0.053
30d,pnl_90d,10,7,off,50,0.3078,0.3552,0.3608,0.388,0.4706,0.4685,-0.0474,-0.053
30d,pnl_90d,10,14,on,48,0.3687,0.2942,0.326,0.4706,0.3787,0.4172,0.0745,0.0427
30d,pnl_90d,10,14,off,50,0.3687,0.2942,0.326,0.4706,0.3787,0.4172,0.0745,0.0427
