date,(1) always short VIXY,(2) calm-gated short,(3) calm-gated + VIX<30 brk,"(4) vol-target 15%, no gate",(5a) vol-target + calm tilt only,(5b) vol-target + tilt + VIX brk
2011-03-09,-0.013518233170397576,-0.0,-0.0,-0.003088641755397403,-0.0015443208776987015,-0.0015443208776987015
2011-03-10,-0.050919944345790835,-0.0,-0.0,-0.01172332476140198,-0.00586166238070099,-0.00586166238070099
2011-03-11,0.02726963190316467,0.0,0.0,0.006151378534805029,0.0030756892674025146,0.0030756892674025146
2011-03-14,-0.013341589432193546,-0.0,-0.0,-0.002958820839867406,-0.001479410419933703,-0.001479410419933703
2011-03-15,-0.04049650819937867,-0.0,-0.0,-0.008982029461370677,-0.004491014730685338,-0.004491014730685338
2011-03-16,-0.09014269500141081,-0.0,-0.0,-0.01992627572083578,-0.00996313786041789,-0.00996313786041789
2011-03-17,0.03716770219934773,0.0,0.0,0.007668082049098943,0.0038340410245494717,0.0038340410245494717
2011-03-18,0.029893887213080506,0.0,0.0,0.0059794794886556275,0.0029897397443278137,0.0029897397443278137
2011-03-21,0.07801824745019892,0.0,0.0,0.015303565859936598,0.007651782929968299,0.007651782929968299
2011-03-22,0.008286950050844788,0.0,0.0,0.0014986539921314492,0.0007493269960657246,0.0007493269960657246
