question,horizon_d,price,outcome
"US x Iran permanent peace deal by May 31, 2026?",2,0.055,0.0
"US x Iran permanent peace deal by May 31, 2026?",1,0.0205,0.0
Will the Fed decrease interest rates by 25 bps aft,7,0.0065,0.0
Will the Fed decrease interest rates by 25 bps aft,5,0.0035,0.0
Will the Fed decrease interest rates by 25 bps aft,3,0.0025,0.0
Will the Fed decrease interest rates by 25 bps aft,2,0.0035,0.0
Will the Fed decrease interest rates by 25 bps aft,1,0.0035,0.0
Will the Miami Heat win the 2025 NBA Finals?,7,0.0005,0.0
Will the Miami Heat win the 2025 NBA Finals?,5,0.0005,0.0
Will the Miami Heat win the 2025 NBA Finals?,3,0.0005,0.0
Will the Miami Heat win the 2025 NBA Finals?,2,0.0005,0.0
Will the Miami Heat win the 2025 NBA Finals?,1,0.0005,0.0
Will Inter Milan win the UEFA Champions League?,7,0.4115,0.0
Will Inter Milan win the UEFA Champions League?,5,0.4195,0.0
Will Inter Milan win the UEFA Champions League?,3,0.411,0.0
Will Inter Milan win the UEFA Champions League?,2,0.4105,0.0
Will Inter Milan win the UEFA Champions League?,1,0.405,0.0
Will Hunor Kelemen win the Romanian presidential e,7,0.0005,0.0
Will Hunor Kelemen win the Romanian presidential e,5,0.0005,0.0
Will Hunor Kelemen win the Romanian presidential e,3,0.0005,0.0
Will Hunor Kelemen win the Romanian presidential e,2,0.0005,0.0
Will Hunor Kelemen win the Romanian presidential e,1,0.0005,0.0
"Will Eleven die in ""Stranger Things: Season 5""?",7,0.455,0.0
"Will Eleven die in ""Stranger Things: Season 5""?",5,0.23,0.0
"Will Eleven die in ""Stranger Things: Season 5""?",3,0.0025,0.0
"Will Eleven die in ""Stranger Things: Season 5""?",2,0.0035,0.0
"Will Eleven die in ""Stranger Things: Season 5""?",1,0.002,0.0
Xi Jinping out in 2025?,7,0.0045,0.0
Xi Jinping out in 2025?,5,0.004,0.0
Xi Jinping out in 2025?,3,0.0035,0.0
Xi Jinping out in 2025?,2,0.0035,0.0
Xi Jinping out in 2025?,1,0.0015,0.0
Will there be no change in Fed interest rates afte,7,0.9935,1.0
Will there be no change in Fed interest rates afte,5,0.9945,1.0
Will there be no change in Fed interest rates afte,3,0.9965,1.0
Will there be no change in Fed interest rates afte,2,0.9985,1.0
Will there be no change in Fed interest rates afte,1,0.9985,1.0
Will Trump launch a coin before the election?,7,0.44,1.0
Will Trump launch a coin before the election?,5,0.67,1.0
Will Trump launch a coin before the election?,3,0.845,1.0
Will Trump launch a coin before the election?,2,0.9955,1.0
Will Trump launch a coin before the election?,1,0.9875,1.0
Will the Fed increase interest rates by 25+ bps af,7,0.0025,0.0
Will the Fed increase interest rates by 25+ bps af,5,0.0025,0.0
Will the Fed increase interest rates by 25+ bps af,3,0.0015,0.0
Will the Fed increase interest rates by 25+ bps af,2,0.0005,0.0
Will the Fed increase interest rates by 25+ bps af,1,0.0005,0.0
Will the Patriots win Super Bowl 2025?,7,0.0035,0.0
Will the Patriots win Super Bowl 2025?,5,0.0035,0.0
Will the Patriots win Super Bowl 2025?,3,0.0035,0.0
Will the Patriots win Super Bowl 2025?,2,0.0035,0.0
Will the Patriots win Super Bowl 2025?,1,0.0035,0.0
US forces enter Iran by March 31?,7,0.165,0.0
US forces enter Iran by March 31?,5,0.165,0.0
US forces enter Iran by March 31?,3,0.165,0.0
US forces enter Iran by March 31?,2,0.165,0.0
US forces enter Iran by March 31?,1,0.165,0.0
Russia x Ukraine ceasefire in 2025?,7,0.0085,0.0
Russia x Ukraine ceasefire in 2025?,5,0.0165,0.0
Russia x Ukraine ceasefire in 2025?,3,0.0065,0.0
Russia x Ukraine ceasefire in 2025?,2,0.0015,0.0
Russia x Ukraine ceasefire in 2025?,1,0.0025,0.0
Will the Indiana Pacers win the 2025 NBA Finals?,7,0.197,0.0
Will the Indiana Pacers win the 2025 NBA Finals?,5,0.0775,0.0
Will the Indiana Pacers win the 2025 NBA Finals?,3,0.089,0.0
Will the Indiana Pacers win the 2025 NBA Finals?,2,0.2815,0.0
Will the Indiana Pacers win the 2025 NBA Finals?,1,0.278,0.0
Will Kim Moon-soo be elected the next president of,7,0.0895,0.0
Will Kim Moon-soo be elected the next president of,5,0.0625,0.0
Will Kim Moon-soo be elected the next president of,3,0.041,0.0
Will Kim Moon-soo be elected the next president of,2,0.0455,0.0
Will Kim Moon-soo be elected the next president of,1,0.052,0.0
Will Kamala Harris be inaugurated?,7,0.0015,0.0
Will Kamala Harris be inaugurated?,5,0.0035,0.0
Will Kamala Harris be inaugurated?,3,0.0035,0.0
Will Kamala Harris be inaugurated?,2,0.0015,0.0
Will Kamala Harris be inaugurated?,1,0.0015,0.0
Will Joe Biden win the 2024 US Presidential Electi,7,0.0005,0.0
Will Joe Biden win the 2024 US Presidential Electi,5,0.0005,0.0
Will Joe Biden win the 2024 US Presidential Electi,3,0.0005,0.0
Will Joe Biden win the 2024 US Presidential Electi,2,0.0005,0.0
