,equity
2024-11-21 00:00:00.000,1151.408130281023
2024-11-21 00:00:00.000,1151.4081302810232
2024-11-22 00:00:00.000,1151.4081302810232
2024-11-22 12:00:00.000,1139.894048978213
2024-11-25 00:00:00.000,1139.894048978213
2024-11-25 00:00:00.000,1139.894048978213
2024-11-30 00:00:00.000,1139.8940489782133
2024-11-30 12:00:00.000,1205.140509694138
2024-11-30 12:00:00.000,1193.6264283913276
2024-11-30 12:00:00.000,1182.1123470885175
2024-12-01 00:00:00.000,1182.1123470885175
2024-12-01 00:00:00.000,1182.1123470885175
2024-12-06 12:00:00.000,1193.741569204356
2024-12-08 00:00:00.000,1193.741569204356
2024-12-08 00:00:00.000,1193.741569204356
2024-12-08 00:00:00.000,1193.7415692043562
2024-12-08 00:00:00.000,1193.7415692043562
2024-12-10 00:00:00.000,1193.7415692043564
2024-12-10 12:00:00.000,1181.920445733471
2024-12-11 00:00:00.000,1181.920445733471
2024-12-13 12:00:00.000,1196.510620468191
2024-12-14 00:00:00.000,1196.510620468191
2024-12-18 12:00:00.000,1184.5732047761476
2024-12-18 12:00:00.000,1172.6357890841039
2024-12-20 00:00:00.000,1172.6357890841039
2024-12-20 12:00:00.000,1190.2141549897476
2024-12-22 00:00:00.000,1190.2141549897476
2024-12-22 00:00:00.000,1190.2141549897474
2024-12-30 12:00:00.000,1178.276739297704
2024-12-30 12:00:00.000,1166.3393236056604
2024-12-30 12:00:00.000,1154.9403831158781
2024-12-31 12:00:00.000,1143.426301813068
2024-12-31 12:00:00.000,1131.5241602631704
2024-12-31 12:00:00.000,1177.9351721168428
2024-12-31 12:00:00.000,1166.115967659508
2024-12-31 12:00:00.000,1154.389609768667
2024-12-31 12:00:00.000,1142.4874682187697
2024-12-31 12:00:00.000,1131.0885277289874
2025-01-04 00:00:00.000,1131.0885277289876
2025-01-05 00:00:00.000,1131.0885277289876
2025-01-09 00:00:00.000,1131.0885277289876
2025-01-10 12:00:00.000,1147.7057542474754
2025-01-12 00:00:00.000,1147.7057542474754
2025-01-17 00:00:00.000,1147.7057542474754
2025-01-18 00:00:00.000,1147.7057542474754
2025-01-21 00:00:00.000,1147.7057542474754
2025-01-22 00:00:00.000,1147.7057542474754
2025-01-24 12:00:00.000,1136.2286967050006
2025-01-27 00:00:00.000,1136.2286967050006
2025-01-31 00:00:00.000,1136.2286967050006
2025-01-31 00:00:00.000,1136.2286967050006
2025-01-31 00:00:00.000,1136.2286967050009
2025-01-31 12:00:00.000,1156.1956324295802
2025-01-31 12:00:00.000,1174.6502347241055
2025-01-31 12:00:00.000,1192.0532312179419
2025-02-07 00:00:00.000,1192.0532312179419
2025-02-09 12:00:00.000,1180.576173675467
2025-02-09 12:00:00.000,1169.0991161329923
2025-02-09 12:00:00.000,1157.7882308557025
2025-02-09 12:00:00.000,1170.0973750700066
2025-02-09 12:00:00.000,1182.4065192843107
2025-02-11 00:00:00.000,1182.4065192843107
2025-02-14 12:00:00.000,1170.4859869721313
2025-02-15 00:00:00.000,1170.4859869721313
2025-02-16 12:00:00.000,1158.78112710241
2025-02-16 12:00:00.000,1171.090271316714
2025-02-19 00:00:00.000,1171.090271316714
2025-02-28 00:00:00.000,1171.090271316714
2025-02-28 00:00:00.000,1171.090271316714
2025-02-28 12:00:00.000,1159.379368603547
2025-03-02 00:00:00.000,1159.379368603547
2025-03-02 00:00:00.000,1159.379368603547
2025-03-09 00:00:00.000,1159.379368603547
2025-03-15 00:00:00.000,1159.379368603547
2025-03-15 12:00:00.000,1183.458786259159
2025-03-22 00:00:00.000,1183.458786259159
2025-03-30 00:00:00.000,1183.4587862591588
2025-03-31 12:00:00.000,1171.6241983965674
2025-03-31 12:00:00.000,1185.0170290338842
2025-04-06 00:00:00.000,1185.0170290338842
2025-04-20 00:00:00.000,1185.0170290338842
2025-04-20 00:00:00.000,1185.0170290338842
2025-04-24 00:00:00.000,1185.0170290338842
2025-04-27 00:00:00.000,1185.0170290338842
2025-04-27 00:00:00.000,1185.0170290338842
2025-04-28 12:00:00.000,1173.1668587435454
2025-04-28 12:00:00.000,1161.3166884532066
2025-04-30 00:00:00.000,1161.3166884532066
2025-04-30 12:00:00.000,1199.8927747175007
2025-04-30 12:00:00.000,1188.4157171750262
2025-04-30 12:00:00.000,1213.5973290419963
2025-04-30 12:00:00.000,1230.9839457783962
2025-05-04 00:00:00.000,1230.9839457783962
2025-05-04 00:00:00.000,1230.9839457783962
2025-05-07 00:00:00.000,1230.9839457783962
2025-05-07 00:00:00.000,1230.9839457783962
2025-05-07 12:00:00.000,1219.1337754880574
2025-05-07 12:00:00.000,1207.2836051977185
2025-05-09 00:00:00.000,1207.2836051977185
2025-05-09 00:00:00.000,1207.2836051977185
2025-05-09 12:00:00.000,1194.9737657399346
2025-05-16 00:00:00.000,1194.9737657399346
2025-05-18 12:00:00.000,1183.0240280825353
2025-05-19 00:00:00.000,1183.0240280825353
2025-05-21 00:00:00.000,1183.0240280825353
2025-05-22 00:00:00.000,1183.0240280825353
2025-05-22 00:00:00.000,1183.0240280825353
2025-05-22 00:00:00.000,1183.0240280825353
2025-05-23 00:00:00.000,1183.0240280825353
2025-05-23 00:00:00.000,1183.0240280825353
2025-05-23 00:00:00.000,1183.0240280825353
2025-05-23 00:00:00.000,1183.0240280825353
2025-05-25 00:00:00.000,1183.0240280825353
2025-05-31 12:00:00.000,1171.19378780171
2025-05-31 12:00:00.000,1159.3635475208846
2025-06-03 12:00:00.000,1147.7503806363525
2025-06-03 12:00:00.000,1167.8937627361363
2025-06-05 12:00:00.000,1155.5839232783524
2025-06-05 12:00:00.000,1172.3291426130472
2025-06-12 00:00:00.000,1172.3291426130472
2025-06-13 00:00:00.000,1172.3291426130472
2025-06-13 00:00:00.000,1172.3291426130472
2025-06-15 00:00:00.000,1172.3291426130472
2025-06-18 00:00:00.000,1172.3291426130472
2025-06-18 00:00:00.000,1172.3291426130472
2025-06-21 00:00:00.000,1172.3291426130472
2025-06-22 00:00:00.000,1172.3291426130472
2025-06-23 00:00:00.000,1172.3291426130472
2025-06-23 12:00:00.000,1160.4989023322219
2025-06-23 12:00:00.000,1148.6686620513965
2025-06-23 12:00:00.000,1136.3588225936123
2025-06-23 12:00:00.000,1124.0489831358284
2025-06-23 12:00:00.000,1112.325691709698
