Date,BTAL,COMT,CTA,CWB,DBC,DBMF,FMF,GLD,GMOM,HFND,JEPI,KMLM,MNA,NTSX,PDBC,QAI,QQQ,QYLD,RLY,RSBT,RSSB,RSST,RYLD,SPY,SVOL,TAIL,WTMF
2020-07-07,21.85728645324707,13.134325981140137,,55.2169303894043,10.937634468078613,17.806779861450195,37.362545013427734,169.0399932861328,20.005455017089844,,30.7773380279541,,30.449752807617188,29.138216018676758,6.6721577644348145,27.11893081665039,248.25794982910156,10.329522132873535,16.036609649658203,,,,9.672942161560059,289.7088317871094,,19.601594924926758,25.740266799926758
2020-07-08,21.883644104003906,13.220987319946289,,55.78325271606445,11.076855659484863,17.837003707885742,37.33730697631836,170.08999633789062,20.38081932067871,,30.80864906311035,,30.469064712524414,29.231637954711914,6.76081657409668,27.181074142456055,251.52789306640625,10.368319511413574,16.14177131652832,,,,9.674917221069336,291.9247741699219,,19.575037002563477,25.710752487182617
2020-07-09,22.437103271484375,13.231819152832031,,56.092960357666016,10.94633674621582,17.901775360107422,37.27843475341797,169.6300048828125,20.37143898010254,,30.65036392211914,,30.53666877746582,29.24098014831543,6.697488307952881,27.181074142456055,253.6466827392578,10.368319511413574,15.938963890075684,,,,9.575566291809082,290.2628479003906,,19.63701057434082,25.6517333984375
2020-07-10,22.094486236572266,13.253483772277832,,56.54426956176758,11.015946388244629,17.869394302368164,37.39618682861328,169.19000244140625,20.19996452331543,,30.850757598876953,,30.681528091430664,29.53993034362793,6.743083477020264,27.17219352722168,255.37838745117188,10.378018379211426,16.036609649658203,,,,9.672942161560059,293.2265930175781,,19.53961944580078,25.7033748626709
2020-07-13,21.90999984741211,13.142451286315918,,55.37620162963867,10.902828216552734,17.80462074279785,37.11862564086914,169.39999389648438,20.205936431884766,,30.81646728515625,,30.53666877746582,29.278348922729492,6.6721577644348145,27.17219352722168,250.12513732910156,10.344066619873047,15.984034538269043,,,,9.601269721984863,290.6875915527344,,19.654720306396484,25.85830307006836
2020-07-14,21.95392417907715,13.193906784057617,,55.69475555419922,10.955037117004395,17.837003707885742,37.362545013427734,170.19000244140625,20.37826919555664,,31.098121643066406,,30.70084571838379,29.549266815185547,6.697488307952881,27.20770263671875,251.89564514160156,10.392565727233887,16.20186424255371,,,,9.719401359558105,294.4546203613281,,19.58388900756836,25.94683837890625
2020-07-15,21.207191467285156,13.27514934539795,,56.420387268066406,11.08555793762207,17.91257095336914,37.51394271850586,170.33999633789062,20.311725616455078,,31.2341251373291,,30.845705032348633,29.84821891784668,6.773480415344238,27.287595748901367,252.40835571289062,10.402267456054688,16.367111206054688,,,,9.883500099182129,297.1598205566406,,19.52191162109375,25.814041137695312
2020-07-16,21.391679763793945,13.231819152832031,,55.96908187866211,10.998543739318848,17.84420394897461,37.33730697631836,168.72999572753906,20.423480987548828,,31.324996948242188,,30.922964096069336,29.661376953125,6.717752933502197,27.234333038330078,250.686279296875,10.421663284301758,16.28448486328125,,,,9.96456241607666,296.18115234375,,19.5307674407959,25.777149200439453
2020-07-17,21.426816940307617,13.248066902160645,,56.190311431884766,11.015946388244629,17.85140037536621,37.32889938354492,170.1199951171875,20.483198165893555,,31.527225494384766,,31.06782341003418,29.838876724243164,6.7228193283081055,27.278717041015625,250.97659301757812,10.41196346282959,16.367111206054688,,,,10.000643730163574,297.039794921875,,19.504209518432617,25.814041137695312
2020-07-20,21.795791625976562,13.272440910339355,,57.23447036743164,11.007244110107422,17.896018981933594,37.32048797607422,170.94000244140625,20.508790969848633,,31.55370330810547,,31.135427474975586,30.128482818603516,6.7228193283081055,27.37636375427246,258.096923828125,10.521688461303711,16.276975631713867,,,,10.026606559753418,299.4403076171875,,19.468793869018555,25.843549728393555
2020-07-21,21.637659072875977,13.399721145629883,,57.14598846435547,11.163870811462402,18.029876708984375,37.623287200927734,173.0,20.62822914123535,,31.642173767089844,,31.096797943115234,30.035064697265625,6.819077014923096,27.43850326538086,255.40744018554688,10.458006858825684,16.502315521240234,,,,10.062050819396973,300.077392578125,,19.504209518432617,26.03536605834961
2020-07-22,21.558597564697266,13.426804542541504,,57.20793533325195,11.233481407165527,18.08888816833496,37.640113830566406,175.6300048828125,20.790315628051758,,31.806453704833984,,31.06782341003418,30.315330505371094,6.859606742858887,27.43850326538086,256.3071594238281,10.482503890991211,16.53986930847168,,,,10.102493286132812,301.7855224609375,,19.468793869018555,26.123897552490234
2020-07-23,21.5498104095459,13.432220458984375,,56.606204986572266,11.207377433776855,18.15294075012207,37.48871612548828,177.17999267578125,20.78605079650879,,31.787200927734375,,31.125768661499023,29.838876724243164,6.834274768829346,27.331981658935547,249.61244201660156,10.355142593383789,16.47977638244629,,,,10.077032089233398,298.1846008300781,,19.548473358154297,26.057498931884766
2020-07-24,21.655231475830078,13.415971755981445,,56.08412551879883,11.22477912902832,18.160858154296875,37.379371643066406,178.6999969482422,20.75362777709961,,31.749300003051758,,31.000219345092773,29.661376953125,6.854540824890137,27.36748504638672,247.24215698242188,10.306160926818848,16.509830474853516,,,,10.062548637390137,296.26416015625,,19.557329177856445,26.14603042602539
2020-07-27,21.690372467041016,13.540543556213379,,56.898216247558594,11.32919692993164,18.254413604736328,37.6317024230957,182.22999572753906,20.958377838134766,,31.84859848022461,,31.06782341003418,29.979015350341797,6.920400619506836,27.474010467529297,251.65374755859375,10.418822288513184,16.614986419677734,,,,10.122467041015625,298.4246826171875,,19.459941864013672,26.264068603515625
2020-07-28,21.620092391967773,13.52971076965332,,56.50886154174805,11.268285751342773,18.297595977783203,37.32889938354492,183.75,20.850038528442383,,31.89794158935547,,31.000219345092773,29.829532623291016,6.884937286376953,27.40299415588379,248.45144653320312,10.394330978393555,16.59996223449707,,,,10.109978675842285,296.531982421875,,19.495349884033203,26.36735725402832
2020-07-29,21.497100830078125,13.573039054870605,,57.34066390991211,11.32919692993164,18.34868812561035,37.6148796081543,185.1300048828125,20.901220321655273,,32.045997619628906,,31.08713722229004,30.128482818603516,6.925466060638428,27.500638961791992,251.31512451171875,10.467804908752441,16.757699966430664,,,,10.159906387329102,300.1789855957031,,19.49978256225586,26.25669288635254
2020-07-30,21.541027069091797,13.459300994873047,,57.49992752075195,11.198676109313965,18.35588836669922,37.53917694091797,183.75999450683594,20.93705177307129,,31.96895408630371,,30.971248626708984,30.128482818603516,6.834274768829346,27.447378158569336,252.630859375,10.472702980041504,16.58493995666504,,,,10.191859245300293,299.1078796386719,,19.592741012573242,26.123897552490234
2020-07-31,21.90999984741211,13.51346206665039,,57.4202995300293,11.259584426879883,18.364526748657227,37.58964538574219,185.42999267578125,20.907190322875977,,32.029144287109375,,30.922964096069336,30.296646118164062,6.869739055633545,27.394119262695312,257.13922119140625,10.570671081542969,16.517337799072266,,,,10.131949424743652,301.4715881347656,,19.557329177856445,26.175539016723633
2020-08-03,21.901214599609375,13.648869514465332,,58.07840347290039,11.372703552246094,18.467435836791992,37.66535186767578,185.63999938964844,21.137529373168945,,32.12595748901367,,31.135427474975586,30.3994083404541,6.940664291381836,27.5095157623291,260.61236572265625,10.624552726745605,16.652538299560547,,,,10.247276306152344,303.5674133300781,,19.5307674407959,26.10176658630371
2020-08-04,21.78700828552246,13.697613716125488,,58.432708740234375,11.433612823486328,18.653114318847656,37.83357620239258,189.58999633789062,21.144357681274414,,32.144107818603516,,31.000219345092773,30.62362289428711,6.981194019317627,27.527273178100586,261.5798034667969,10.649039268493652,16.795251846313477,,,,10.306687355041504,304.739990234375,,19.51749038696289,26.219806671142578
2020-08-05,21.38289451599121,13.805939674377441,,58.97301483154297,11.529328346252441,18.679019927978516,37.917686462402344,191.35000610351562,21.373844146728516,,32.150169372558594,,31.077482223510742,30.735727310180664,7.036922454833984,27.624916076660156,262.22796630859375,10.678435325622559,16.937971115112305,,,,10.350125312805176,306.63275146484375,,19.433380126953125,26.24193572998047
2020-08-06,21.347753524780273,13.811355590820312,,58.716163635253906,11.616342544555664,18.679019927978516,38.17843246459961,193.88999938964844,21.509489059448242,,32.204612731933594,,30.961593627929688,31.034677505493164,7.092650413513184,27.6337947845459,265.701171875,10.678435325622559,16.945480346679688,,,,10.37109375,308.6824645996094,,19.468793869018555,26.14603042602539
2020-08-07,21.022706985473633,13.66024398803711,,58.2289924621582,11.459716796875,18.481107711791992,37.858802795410156,190.80999755859375,21.178476333618164,,32.3631591796875,,31.077482223510742,30.86652183532715,6.991325855255127,27.51839256286621,262.6342468261719,10.683331489562988,16.847837448120117,,,,10.387069702148438,308.9039306640625,,19.415672302246094,26.09438705444336
2020-08-10,20.390178680419922,13.721988677978516,,57.95440673828125,11.520626068115234,18.44872283935547,38.1531982421875,190.14999389648438,21.169950485229492,,32.45272445678711,,30.99056625366211,31.044015884399414,7.03185510635376,27.536148071289062,261.5121154785156,10.698028564453125,16.968015670776367,,,,10.429505348205566,309.8272399902344,,19.318283081054688,26.005859375
