Date,AGG,BTAL,CTA,DBMF,FMF,GMOM,HFND,KMLM,MNA,NTSX,QAI,RLY,RPAR,RSBT,RSSB,RSST,SPY,TAIL,WTMF
2025-11-19,97.80158996582031,15.070637702941895,26.458173751831055,27.255399703979492,46.79218292236328,31.86639976501465,22.440345764160156,25.19112205505371,35.689998626708984,53.25193405151367,32.88678741455078,30.41044044494629,21.14005470275879,17.2575626373291,27.059534072875977,26.413639068603516,658.8783569335938,11.75174331665039,37.12797546386719
2025-11-20,97.9188461303711,15.421798706054688,26.089754104614258,27.264965057373047,46.4566535949707,31.446441650390625,22.2728214263916,25.173988342285156,35.56999969482422,52.50625228881836,32.62077713012695,30.058197021484375,21.036577224731445,17.110145568847656,26.769508361816406,25.721145629882812,648.8355712890625,11.908824920654297,37.04866027832031
2025-11-21,98.15340423583984,15.353516578674316,26.0994873046875,27.226709365844727,46.26491928100586,31.563318252563477,22.39846420288086,25.128299713134766,35.790000915527344,53.00337219238281,32.7390022277832,30.136472702026367,21.098264694213867,17.22943687438965,27.127206802368164,26.136642456054688,655.2987670898438,11.849919319152832,37.27668380737305
2025-11-24,98.34883880615234,14.90481185913086,26.050830841064453,27.44666862487793,46.48541259765625,31.992189407348633,22.407981872558594,25.129249572753906,35.790000915527344,53.838539123535156,32.9360466003418,30.420225143432617,21.273380279541016,17.35066795349121,27.465572357177734,26.785606384277344,664.9437866210938,11.761560440063477,37.55427932739258
2025-11-25,98.50519561767578,14.787757873535156,26.216266632080078,27.51361083984375,46.3703727722168,32.15760040283203,22.51458740234375,25.26251220703125,35.810001373291016,54.474857330322266,33.06412887573242,30.537639617919922,21.391780853271484,17.49614715576172,27.745933532714844,27.16548728942871,671.1982421875,11.707563400268555,37.48488235473633
2025-11-26,98.66155242919922,14.53414249420166,26.43035316467285,27.666622161865234,46.638797760009766,32.49039840698242,22.618337631225586,25.38149642944336,35.83000183105469,54.882503509521484,33.221763610839844,30.880102157592773,21.511178970336914,17.617380142211914,28.016624450683594,27.55427360534668,675.8318481445312,11.673201560974121,37.65341567993164
2025-11-28,98.52474975585938,14.514634132385254,26.576324462890625,27.64749526977539,46.715492248535156,32.8350830078125,22.658313751220703,25.424327850341797,35.849998474121094,55.02169418334961,33.33013916015625,31.114931106567383,21.49127769470215,17.307024002075195,28.08429718017578,27.650232315063477,679.5208129882812,11.633931159973145,38.00040817260742
2025-12-01,98.0992431640625,14.514634132385254,26.469282150268555,27.417978286743164,46.619625091552734,32.748905181884766,22.59263801574707,25.338661193847656,35.790000915527344,54.623992919921875,33.221763610839844,31.0855770111084,21.35198211669922,17.505844116210938,27.842607498168945,27.422698974609375,676.41845703125,11.575024604797363,37.76247024536133
2025-12-02,98.2267074584961,14.504878997802734,26.459550857543945,27.494482040405273,46.686729431152344,32.74494934082031,22.580263137817383,25.28154945373535,35.79999923706055,54.65382385253906,33.27102279663086,30.977947235107422,21.360937118530273,17.578584671020508,27.890947341918945,27.521625518798828,677.67138671875,11.584842681884766,37.96075439453125
2025-12-03,98.41297912597656,14.251262664794922,26.2746524810791,27.51361083984375,46.6579704284668,32.87370681762695,22.672590255737305,25.400531768798828,35.81999969482422,55.061466217041016,33.339988708496094,31.114931106567383,21.52112579345703,17.649383544921875,28.113300323486328,27.79862403869629,680.0180053710938,11.584842681884766,38.040061950683594
2025-12-04,98.17768096923828,14.192736625671387,26.225996017456055,27.40841293334961,46.89763259887695,32.86083221435547,22.691627502441406,25.319623947143555,35.790000915527344,54.962039947509766,33.34983825683594,31.232345581054688,21.52112579345703,17.60283088684082,27.929616928100586,27.82830047607422,680.51513671875,11.550480842590332,37.9805793762207
2025-12-05,98.06983184814453,14.202491760253906,25.904863357543945,27.427539825439453,46.66756057739258,32.86776351928711,22.673542022705078,25.224437713623047,35.849998474121094,55.01175308227539,33.38924789428711,31.13450050354004,21.40670394897461,17.60283088684082,27.968286514282227,27.956907272338867,681.8078002929688,11.506300926208496,37.9805793762207
2025-12-08,97.9129638671875,14.085436820983887,25.934053421020508,27.40841293334961,46.47582244873047,32.754852294921875,22.625,25.367216110229492,35.72999954223633,54.61405563354492,33.379398345947266,30.909454345703125,21.308204650878906,17.51554298400879,27.83294105529785,27.571090698242188,679.7594604492188,11.49648380279541,38.020233154296875
