Date,AGG,CTA,DBMF,KMLM,NTSX,QLD,QQQ,RSBT,RSSB,RSST,SPY,SSO,TQQQ,UPRO
2023-07-20,87.76807403564453,21.10883140563965,23.70556640625,28.860864639282227,36.52851867675781,33.019737243652344,370.70135498046875,17.083669662475586,,,436.75189208984375,29.51183319091797,20.86176109313965,48.67526626586914
2023-07-21,87.83078002929688,21.092050552368164,23.731470108032227,29.021360397338867,36.51885223388672,32.81651306152344,369.5894775390625,17.121570587158203,,,436.75189208984375,29.516727447509766,20.67770004272461,48.65576934814453
2023-07-24,87.66947174072266,21.40259552001953,23.72283363342285,28.6342830657959,36.53819274902344,32.92060852050781,370.17987060546875,17.140522003173828,,,438.7029724121094,29.766460418701172,20.76004409790039,49.2894401550293
2023-07-25,87.57086944580078,21.484853744506836,23.671016693115234,28.633338928222656,36.64455032348633,33.37659454345703,372.68878173828125,17.167051315307617,,,439.900634765625,29.93293571472168,21.17660140991211,49.66963195800781
2023-07-26,87.85768127441406,21.276700973510742,23.70556640625,28.955272674560547,36.67354965209961,33.143646240234375,371.4490661621094,17.17652702331543,,,439.9682922363281,29.93293571472168,20.958635330200195,49.65013885498047
2023-07-27,87.10480499267578,21.654390335083008,23.70556640625,28.823101043701172,36.36415481567383,32.96025466918945,370.5635681152344,17.059980392456055,,,437.0512390136719,29.521625518798828,20.779420852661133,48.646018981933594
2023-07-28,87.44538879394531,21.5788516998291,23.81783103942871,28.804218292236328,36.71222686767578,34.154754638671875,377.3132629394531,17.345184326171875,,,441.3301696777344,30.079833984375,21.903152465820312,50.04009246826172
2023-07-31,87.55294799804688,21.53688621520996,23.774648666381836,28.96471405029297,36.731563568115234,34.2142333984375,377.5099792480469,17.390663146972656,,,442.17047119140625,30.2071533203125,21.946744918823242,50.32279586791992
2023-08-01,86.97325897216797,21.54528045654297,23.93873405456543,29.23849868774414,36.64455032348633,34.020931243896484,376.6343078613281,17.377399444580078,,,440.9051513671875,30.01128578186035,21.777219772338867,49.84511184692383
2023-08-02,86.76654052734375,21.461349487304688,23.94736671447754,29.030799865722656,35.9870719909668,32.51417922973633,368.3694763183594,16.988920211791992,,,434.7717590332031,29.19355010986328,20.353172302246094,47.778385162353516
2023-08-03,86.18232727050781,21.71314239501953,24.02509117126465,29.266822814941406,35.92906188964844,32.39521789550781,367.77911376953125,16.913118362426758,,,433.52581787109375,28.9927921295166,20.207860946655273,47.31044387817383
2023-08-04,86.89234924316406,21.511707305908203,23.78329086303711,28.983596801757812,35.76469039916992,32.08296585083008,366.0572509765625,16.799415588378906,,,431.5650634765625,28.738168716430664,19.92693328857422,46.64753341674805
